name,name2,rhythm,wSI,hSI,nEvents,nKick,nSnare,dif,simul,nEvents2,complexity
Hreal_73,73,1,0,0,32,16,16,0,8,24,Low
real_102,102,2,4,0.019,14,8,6,4,4,10,Low
Hreal_50,50,3,8,0.072,14,8,6,0,4,10,Low
Hreal_74,74,4,10,0.0909,20,8,12,0,4,16,Low
real_70,70,5,13,0.068,16,5,11,9,0,16,Low
real_65,65,6,18,0.110536,21,11,10,8,0,21,Low
real_97,97,7,22,0.069,13,7,6,5,0,13,Low
Hreal_53,53,8,24,0.0896,14,6,8,0,0,14,Low
real_83,83,9,27,0.102,13,8,5,6,0,13,Medium
real_98,98,10,32,0.143223,13,5,8,7,0,13,Medium
real_08,08,11,35,0.189413,17,10,7,1,2,15,Medium
real_35,35,12,40,0.318268,22,8,14,0,0,22,Medium
real_77,77,13,42,0.194,18,8,10,2,0,18,Medium
Hreal_54,54,14,44,0.1456,14,10,4,0,0,14,Medium
real_42.2,42_2,15,50,0.093,16,4,12,4,4,12,Medium
real_39.2,39_2,16,54,0.256682,26,11,15,6,4,22,Medium
real_21,21,17,59,0.167,22,6,16,8,2,20,High
Hreal_37,37,18,62,0.2643,20,4,16,0,0,20,High
real_33,33,19,65,0.285,18,6,12,8,0,18,High
real_82,82,20,69,0.105,14,11,3,8,0,14,High
Hreal_58,58,21,74,0.362,24,12,12,0,0,24,High
real_91,91,22,76,0.223,14,6,8,5,0,14,High
real_12,12,23,82,0.332,18,4,14,0,0,18,High
real_24,24,24,85,0.243,21,5,16,1,0,21,High
