Participant.Public.ID,Participant.Private.ID,Biological.sex.object.9.Quantised,Age.object.10.Value,Nationality.object.11.Value,Current.country.object.12.Value
666,10275593,2,29,Chinese,China
vxupoi0z,10289876,2,20,german,denmark
6kgkb2sx,10317638,2,30,Colombian,Denmark
ovxe3d15,10343912,2,20,Bulgarian,Denmark 
0ons535i,10356030,2,30,Indonesian,Denmark
y7vc2tar,10362812,2,33,Hungarian,Denmark
fjsayzqw,10363270,2,21,Norweggian,Denmark
chqqm61a,10368418,2,28,Indian,Denmark
4de091m2,10369089,2,27,British,Denmark
i2sxx7b7,10378190,2,36,Austrian,Danmark
1qm7vz88,10445829,2,19,Polish,Denmark
k4v0uvva,10457024,1,33,Brazil,Denmark
gma50zj1,10457661,1,30,USA,Denmark
zwg8ihv8,10499307,1,26,Spanish,Denmark
v45hwbzq,10519081,2,22,polish,denmark
j8eht2iu,10520027,2,28,Hungarian,Denmark
vaejqxl2,10520806,2,26,Hungarian,Denmark
jn1iwzwz,10562443,2,31,Nigerian,Denmark
tftnb87e,10600571,2,25,Norwegian ,Denmark 
hobvnfy0,10608480,2,25,czech,Denmark 
orgpeg3n,10609562,1,26,Spanish,Denmark
dzs6il1w,10612935,2,26,Hungarian,Denmark
o3skbich,10614893,2,23,Italian,Denmark
otmvoloo,10626322,2,31,Nigeria,Denmark
0zdq85tp,10628576,2,28,Lithuanian,Denmark
2x3d91be,10640064,2,21,Romanian,Danmark 
3s1lhl39,10644302,2,36,austrian,denmark
9smefh6i,10653252,2,19,Polish,Denmark
n03wntso,10686897,2,19,somali,denmark
7aireyek,10693530,2,22,albanian/danish,denmark
